Categorie: Alle categorieën

Week,ah: (Nederland)
2021-07-04,45
2021-07-11,46
2021-07-18,47
2021-07-25,47
2021-08-01,46
2021-08-08,50
2021-08-15,49
2021-08-22,46
2021-08-29,45
2021-09-05,45
2021-09-12,42
2021-09-19,45
2021-09-26,43
2021-10-03,44
2021-10-10,43
2021-10-17,45
2021-10-24,46
2021-10-31,47
2021-11-07,47
2021-11-14,53
2021-11-21,49
2021-11-28,49
2021-12-05,53
2021-12-12,56
2021-12-19,100
2021-12-26,82
2022-01-02,60
2022-01-09,51
2022-01-16,43
2022-01-23,49
2022-01-30,48
2022-02-06,46
2022-02-13,47
2022-02-20,47
2022-02-27,46
2022-03-06,48
2022-03-13,44
2022-03-20,45
2022-03-27,47
2022-04-03,49
