Categorie: Alle categorieën

Week,supermarkets: (Wereldwijd)
2021-07-04,67
2021-07-11,68
2021-07-18,77
2021-07-25,70
2021-08-01,66
2021-08-08,59
2021-08-15,71
2021-08-22,66
2021-08-29,66
2021-09-05,55
2021-09-12,56
2021-09-19,60
2021-09-26,55
2021-10-03,57
2021-10-10,61
2021-10-17,57
2021-10-24,57
2021-10-31,52
2021-11-07,51
2021-11-14,52
2021-11-21,59
2021-11-28,50
2021-12-05,51
2021-12-12,52
2021-12-19,94
2021-12-26,100
2022-01-02,51
2022-01-09,49
2022-01-16,46
2022-01-23,51
2022-01-30,47
2022-02-06,45
2022-02-13,48
2022-02-20,48
2022-02-27,47
2022-03-06,51
2022-03-13,50
2022-03-20,46
2022-03-27,49
2022-04-03,55
