,date,revenue
0,2021-06-28,13593107.92
1,2021-06-29,14985728.96
2,2021-06-30,16052418.08
3,2021-07-01,14063852.02
4,2021-07-02,16615768.9
5,2021-07-03,16609518.16
6,2021-07-04,12509132.11
7,2021-07-05,13318191.82
8,2021-07-06,13578371.89
9,2021-07-07,13322000.13
10,2021-07-08,14912706.32
11,2021-07-09,17805438.34
12,2021-07-10,16248849.63
13,2021-07-11,12769544.5
14,2021-07-12,12797455.35
15,2021-07-13,13100242.58
16,2021-07-14,13516793.13
17,2021-07-15,14025464.02
18,2021-07-16,18017081.63
19,2021-07-17,15395707.09
20,2021-07-18,12170887.88
21,2021-07-19,12927321.65
22,2021-07-20,12604878.71
23,2021-07-21,14082615.61
24,2021-07-22,14849278.06
25,2021-07-23,17300122.76
26,2021-07-24,15496635.7
27,2021-07-25,12359104.74
28,2021-07-26,12506230.41
29,2021-07-27,13369740.77
30,2021-07-28,13071061.38
31,2021-07-29,14091223.88
32,2021-07-30,17282182.73
33,2021-07-31,15387408.17
34,2021-08-01,12575300.84
35,2021-08-02,12451082.8
36,2021-08-03,12651069.93
37,2021-08-04,13360372.73
38,2021-08-05,14202453.42
39,2021-08-06,17767507.98
40,2021-08-07,14677460.54
41,2021-08-08,11818111.06
42,2021-08-09,12533094.74
43,2021-08-10,12815148.36
44,2021-08-11,12829375.38
45,2021-08-12,13760351.38
46,2021-08-13,16542826.82
47,2021-08-14,15121160.24
48,2021-08-15,12124982.23
49,2021-08-16,12054633.040000001
50,2021-08-17,11434954.64
51,2021-08-18,12699533.64
52,2021-08-19,13213402.93
53,2021-08-20,16361639.91
54,2021-08-21,14414526.61
55,2021-08-22,12300692.27
56,2021-08-23,12691267.19
57,2021-08-24,13159545.02
58,2021-08-25,13158013.02
59,2021-08-26,13364016.48
60,2021-08-27,17915352.73
61,2021-08-28,16236481.81
62,2021-08-29,13052239.85
63,2021-08-30,13589683.73
64,2021-08-31,14776346.56
65,2021-09-01,13801288.46
66,2021-09-02,13491370.21
67,2021-09-03,18154589.19
68,2021-09-04,15772922.21
69,2021-09-05,13256257.87
70,2021-09-06,12877263.91
71,2021-09-07,12844038.56
