,date,revenue
0,2021-06-28,5358695.2
1,2021-06-29,5377477.76
2,2021-06-30,5464551.08
3,2021-07-01,5891338.36
4,2021-07-02,6743656.05
5,2021-07-03,5730283.74
6,2021-07-04,4951694.89
7,2021-07-05,5013580.41
8,2021-07-06,4969822.02
9,2021-07-07,5578238.69
10,2021-07-08,5451888.0
11,2021-07-09,6911758.78
12,2021-07-10,5925701.25
13,2021-07-11,4800324.81
14,2021-07-12,5165747.33
15,2021-07-13,4768538.58
16,2021-07-14,5127212.97
17,2021-07-15,5286219.92
18,2021-07-16,7042107.64
19,2021-07-17,5809074.83
20,2021-07-18,4423841.33
21,2021-07-19,5168642.12
22,2021-07-20,4906990.71
23,2021-07-21,4809793.28
24,2021-07-22,5479584.78
25,2021-07-23,6656502.73
26,2021-07-24,5481195.54
27,2021-07-25,4607719.26
28,2021-07-26,4854072.06
29,2021-07-27,4801550.81
30,2021-07-28,5233965.21
31,2021-07-29,5349686.14
32,2021-07-30,6558967.68
33,2021-07-31,5481744.19
34,2021-08-01,4851585.5
35,2021-08-02,4627813.74
36,2021-08-03,4687461.61
37,2021-08-04,4616725.43
38,2021-08-05,5000229.64
39,2021-08-06,6613070.59
40,2021-08-07,5515783.29
41,2021-08-08,4140557.55
42,2021-08-09,4740898.2700000005
43,2021-08-10,4490669.51
44,2021-08-11,4418165.93
45,2021-08-12,4991772.25
46,2021-08-13,6270145.41
47,2021-08-14,5063359.03
48,2021-08-15,4172947.91
49,2021-08-16,4660179.59
50,2021-08-17,4500214.64
51,2021-08-18,4812945.3
52,2021-08-19,4991196.84
53,2021-08-20,6406284.23
54,2021-08-21,5599593.44
55,2021-08-22,4427159.39
56,2021-08-23,4857504.68
57,2021-08-24,4609415.37
58,2021-08-25,4641922.55
59,2021-08-26,5243244.51
60,2021-08-27,6930975.44
61,2021-08-28,5934350.95
62,2021-08-29,5186334.47
63,2021-08-30,5113338.85
64,2021-08-31,5736575.89
65,2021-09-01,5547884.46
66,2021-09-02,5378848.55
67,2021-09-03,7033185.38
68,2021-09-04,6165659.9
69,2021-09-05,5045726.28
70,2021-09-06,5270504.76
71,2021-09-07,5120323.98
72,2021-09-08,5251215.13
73,2021-09-09,5288157.44
74,2021-09-10,7461442.81
75,2021-09-11,5700926.29
76,2021-09-12,5172827.03
77,2021-09-13,5028225.42
78,2021-09-14,5271142.28
79,2021-09-15,5142066.5200000005
80,2021-09-16,5537758.87
81,2021-09-17,7096142.61
82,2021-09-18,6208454.38
83,2021-09-19,5137766.65
84,2021-09-20,5033939.28
85,2021-09-21,5075042.56
86,2021-09-22,5298201.78
87,2021-09-23,5191492.49
88,2021-09-24,7133427.17
89,2021-09-25,5950776.72
90,2021-09-26,5315439.65
91,2021-09-27,5252604.55
92,2021-09-28,5357582.59
93,2021-09-29,5397676.07
94,2021-09-30,5489778.0
95,2021-10-01,7643530.99
96,2021-10-02,5810415.64
97,2021-10-03,5337291.0
98,2021-10-04,5301448.3
99,2021-10-05,5322995.3
100,2021-10-06,5462172.23
101,2021-10-07,5807765.68
102,2021-10-08,7832901.99
103,2021-10-09,5827788.45
104,2021-10-10,5504681.35
105,2021-10-11,5578440.55
106,2021-10-12,5387860.2700000005
107,2021-10-13,5486809.79
108,2021-10-14,5371916.22
109,2021-10-15,7779392.9
110,2021-10-16,6093793.37
111,2021-10-17,5697176.76
112,2021-10-18,5868408.02
113,2021-10-19,5773623.18
114,2021-10-20,5542314.48
115,2021-10-21,5927217.27
116,2021-10-22,7735785.28
117,2021-10-23,6290144.54
118,2021-10-24,5663598.72
119,2021-10-25,5623845.51
120,2021-10-26,5298193.67
121,2021-10-27,5759992.6
122,2021-10-28,6842461.06
123,2021-10-29,8034594.1
124,2021-10-30,7541400.21
125,2021-10-31,5711480.44
126,2021-11-01,5909387.04
127,2021-11-02,5774761.86
128,2021-11-03,6869719.9
129,2021-11-04,6784563.42
130,2021-11-05,6625652.61
131,2021-11-06,5774019.64
132,2021-11-07,6048608.51
133,2021-11-08,5932847.59
134,2021-11-09,5345299.69
135,2021-11-10,5660016.13
136,2021-11-11,6011272.86
137,2021-11-12,8109778.81
138,2021-11-13,7335179.4799999995
139,2021-11-14,5616719.48
140,2021-11-15,5856849.07
141,2021-11-16,5759549.77
142,2021-11-17,6000762.75
143,2021-11-18,6464575.48
144,2021-11-19,8103003.65
145,2021-11-20,7212768.26
146,2021-11-21,5884295.62
147,2021-11-22,5855418.41
148,2021-11-23,5457730.58
149,2021-11-24,5891367.98
150,2021-11-25,6504192.69
151,2021-11-26,8525367.31
152,2021-11-27,6974197.3
153,2021-11-28,5911771.4
154,2021-11-29,5825617.21
155,2021-11-30,5610459.36
156,2021-12-01,5858228.57
157,2021-12-02,6541618.33
158,2021-12-03,9424111.66
159,2021-12-04,7731372.4
160,2021-12-05,6023495.49
161,2021-12-06,5966894.34
162,2021-12-07,6037115.21
163,2021-12-08,6148492.15
164,2021-12-09,6410777.31
165,2021-12-10,8620822.0
166,2021-12-11,7730166.4
167,2021-12-12,6731035.44
168,2021-12-13,6281852.99
169,2021-12-14,6235089.01
170,2021-12-15,6895363.79
171,2021-12-16,7398471.56
172,2021-12-17,10031281.81
173,2021-12-18,8315297.11
174,2021-12-19,6703140.17
175,2021-12-20,8017608.38
176,2021-12-21,7333121.47
177,2021-12-22,8606260.61
178,2021-12-23,8142460.0
179,2021-12-24,10365637.85
180,2021-12-25,9250090.57
181,2021-12-26,8092534.88
182,2021-12-27,9956788.05
183,2021-12-28,10579344.85
184,2021-12-29,12689384.540000001
185,2021-12-30,20325564.55
186,2021-12-31,18786829.13
187,2022-01-01,2996675.97
188,2022-01-02,5253563.91
189,2022-01-03,5440334.21
190,2022-01-04,5126534.28
191,2022-01-05,5966137.95
192,2022-01-06,6598615.87
193,2022-01-07,5896086.79
194,2022-01-08,5406630.01
195,2022-01-09,5992924.21
196,2022-01-10,5871624.75
197,2022-01-11,5590604.85
198,2022-01-12,6542317.89
199,2022-01-13,6924268.59
200,2022-01-14,8330374.78
201,2022-01-15,7460583.94
202,2022-01-16,6424634.26
203,2022-01-17,5855864.45
204,2022-01-18,6140000.9
205,2022-01-19,6346686.01
206,2022-01-20,6102798.04
207,2022-01-21,7826598.54
208,2022-01-22,7000523.3
209,2022-01-23,6010814.37
210,2022-01-24,6167462.42
211,2022-01-25,6275321.32
212,2022-01-26,6089553.86
213,2022-01-27,6394375.05
214,2022-01-28,8390220.47
215,2022-01-29,6870851.7700000005
216,2022-01-30,5764101.87
217,2022-01-31,6015562.26
218,2022-02-01,5805259.56
219,2022-02-02,6105579.53
220,2022-02-03,6128665.05
221,2022-02-04,8296948.15
222,2022-02-05,7050754.08
223,2022-02-06,6231964.84
224,2022-02-07,5599320.34
225,2022-02-08,5791136.83
226,2022-02-09,5800111.1
227,2022-02-10,6448347.1
228,2022-02-11,8435733.65
229,2022-02-12,7245531.53
230,2022-02-13,6166026.57
231,2022-02-14,6624185.43
232,2022-02-15,5834417.86
233,2022-02-16,5873300.03
234,2022-02-17,6185310.8
235,2022-02-18,9223481.53
236,2022-02-19,7399678.08
237,2022-02-20,6186809.24
238,2022-02-21,6600819.01
239,2022-02-22,7892031.35
240,2022-02-23,7104169.21
241,2022-02-24,6116523.4
242,2022-02-25,7613407.75
